home cost, investment_cost, starting_loan_principle, loan_payment, loan_interest_rate, property_appreciation, starting_taxes, tax_percent_increase_per_year, starting_insurance_premium
290000.00, 298693.00, 230400.00, 925.40, 0.0263, 1.032, 7840.00, 1.03, 1000.00, 

year, sell_price, balance, balance_per_year, balance_per_year_per_month, taxes, taxes_payed, interest, interest_payed, insurance, insurance_payed, broker_fees_if_sold, tax_break_if_sold
1, 299280.00, -31023.68, -31023.68, -2585.31, 8075.20, 8075.20, 5998.26, 5998.26, 1020.00, 1020.00, 17956.80, 1439.58
2, 308856.96, -35834.56, -17917.28, -1493.11, 8317.46, 16392.66, 5862.32, 11860.58, 1040.40, 2060.40, 18531.42, 2846.54
3, 318740.38, -40521.63, -13507.21, -1125.60, 8566.98, 24959.64, 5722.77, 17583.35, 1061.21, 3121.61, 19124.42, 4220.00
4, 328940.07, -45080.77, -11270.19, -939.18, 8823.99, 33783.62, 5579.51, 23162.86, 1082.43, 4204.04, 19736.40, 5559.09
5, 339466.16, -49507.68, -9901.54, -825.13, 9088.71, 42872.33, 5432.43, 28595.29, 1104.08, 5308.12, 20367.97, 6862.87
6, 350329.07, -53797.96, -8966.33, -747.19, 9361.37, 52233.70, 5281.43, 33876.72, 1126.16, 6434.28, 21019.74, 8130.41
7, 361539.60, -57947.04, -8278.15, -689.85, 9642.21, 61875.91, 5126.42, 39003.14, 1148.69, 7582.97, 21692.38, 9360.75
8, 373108.87, -61950.20, -7743.77, -645.31, 9931.48, 71807.39, 4967.28, 43970.41, 1171.66, 8754.63, 22386.53, 10552.90
9, 385048.36, -65802.56, -7311.40, -609.28, 10229.42, 82036.81, 4803.90, 48774.31, 1195.09, 9949.72, 23102.90, 11705.84
10, 397369.90, -69499.10, -6949.91, -579.16, 10536.30, 92573.12, 4636.17, 53410.49, 1218.99, 11168.72, 23842.19, 12818.52
